ID;ancient_toponym;modern_location;longitude;latitude
2.06.50.13;Segisama Iulia;;;
2.06.50.14;Palantia;Palencia;-4,53639;42,01139
2.06.50.15;Eldana;;;
2.06.50.16;Cougium;;;
2.06.50.17;Cauca;Coca;-4,52306;41,21667
2.06.50.18;Octodurum;;;
2.06.50.19;Pintia;;;
2.06.50.20;Sentica;;;
2.06.50.21;Sarabris;;;
2.06.51.03;Concana;;;
2.06.51.04;Ottaviolca;near Camesa-Rebolledo;-4,15833;42,88722
2.06.51.05;Argenomescum;;;
2.06.51.06;Vadinia;near Cangas de On°s;-5,12889;43,35056
2.06.51.07;Vellica;;;
2.06.51.08;Camarica;;;
2.06.51.09;Juli¢briga;near Retrotillo;-4,114008;42,985525
2.06.51.10;Moroica;;;
2.06.52.02;Bravon;;;
2.06.52.03;Sisaraca;Herrera de Pisuerga;-4,330103;42,594778
2.06.52.04;Deobrigula;Castro de Tardajos;-3,808028;42,353456
2.06.52.05;Ambisna;;;
2.06.52.06;Segisamo;Sasam¢n;-4,042764;42,417292
2.06.53.03;Vxama Barca;Osma de Valdegovia;-3,063733;42,8909
2.06.53.04;Segisamonculum;;;
2.06.53.05;Virouesca;Briviesca;-3,322753;42,550522
2.06.53.06;Antequia;;;
2.06.53.07;Deobriga;Arce MirapÇrez;-2,906633;42,676881
2.06.53.08;Vindeleia;;;
2.06.53.09;Salionca;;;
2.06.54.03;Visontium;;;
2.06.54.04;Augustobriga [Tarraconensis];Muro de µgreda;-1,986606;41,831933
